Title,Question,Answer,Relevant_doc,Question_answer
Medical_Product_Communications_That_Are_Consistent_With_the_FDA-Required_Labeling__Questions_and_Answers_Guidance_for_Industry_JUNE_2018.mmd,"Having read through Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff, If the firm wishes to present this information in a CFL promotional communication, how should it do so?","The firm could present the results from these analyses of the individual components of the composite endpoint descriptively without p-values and without claiming that the results on the individual components are demonstrated additional effects of the drug. The firm should also include contextual information to describe the material limitations of the data (see Q.8/A.8) - e.g., for this particular presentation, the firm could explain that because these analyses were not prespecified and appropriate multiplicity adjustments were not applied, the results on the individual components need cautious interpretation and could represent chance findings.",Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff,"Question: If the firm wishes to present this information in a CFL promotional communication, how should it do so?
  Answer: The firm could present the results from these analyses of the individual components of the composite endpoint descriptively without p-values and without claiming that the results on the individual components are demonstrated additional effects of the drug. The firm should also include contextual information to describe the material limitations of the data (see Q.8/A.8) - e.g., for this particular presentation, the firm could explain that because these analyses were not prespecified and appropriate multiplicity adjustments were not applied, the results on the individual components need cautious interpretation and could represent chance findings.
  "
Medical_Product_Communications_That_Are_Consistent_With_the_FDA-Required_Labeling__Questions_and_Answers_Guidance_for_Industry_JUNE_2018.mmd,"With reference to Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff, What other considerations apply to CFL promotional communications that are consistent with the FDA-required labeling?","In addition to the considerations addressed in Q.6/A.6, firms should ensure their FDA-regulated promotional materials otherwise satisfy the applicable requirements of the FD&C Act and FDA's implementing regulations.",Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff,"Question: What other considerations apply to CFL promotional communications that are consistent with the FDA-required labeling?
  Answer: In addition to the considerations addressed in Q.6/A.6, firms should ensure their FDA-regulated promotional materials otherwise satisfy the applicable requirements of the FD&C Act and FDA's implementing regulations.
  "
Medical_Product_Communications_That_Are_Consistent_With_the_FDA-Required_Labeling__Questions_and_Answers_Guidance_for_Industry_JUNE_2018.mmd,"Delving into Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff, What does FDA recommend that firms consider when developing CFL promotional communications that are consistent with the FDA-required labeling to help ensure that the presentation of this information does not render the communication false or misleading?","The way a firm presents information that is consistent with the FDA-required labeling (including the express and implied claims made and the overall impression created by the communication as a whole) affects how the information is understood. The following are some high-level recommendations for firms to consider when developing their presentations of information in CFL promotional communications to help ensure the presentations do not mislead the applicable audience(s):

* Any study results or other data and information that are relied upon to support a firm's CFL promotional communication should be accurately represented in the communications. Moreover, aspects of study design and methodology that are material for audiences to accurately interpret the information presented (e.g. type of study, study objectives, product dosage/use regimens, controls used, patient population studied) from any studies relied on should be clearly and prominently25 disclosed in firms' CFL promotional communications, and material limitations related to the study design, methodology, and results should also be disclosed in a clear and prominent manner.
* The CFL promotional communication should accurately characterize and contextualize the relevant information about the product, including by disclosing unfavorable or inconsistent findings. For example, if a firm presents efficacy results from a postmarketing study of its product that evaluated the effect of the product on two different endpoints, such as overall survival and progression-free survival, and the product failed to demonstrate an effect on one of these two endpoints, the firm should clearly and prominently disclose this in the CFL promotional communication, rather than selectively presenting only the positive efficacy results.
* If the FDA-required labeling contains data or information related to what is being represented/suggested in the CFL promotional communication, the communication should also include the data or information from the FDA-required labeling to provide the audience with appropriate context, and this information should be presented in a clear and prominent way. For example, if a communication provides postmarketing information about the types and rates of occurrence of adverse events that have been observed in practice, the communication should also include information from the FDA-required labeling about the types and rates of occurrence of adverse reactions observed in clinical trials to provide context.",Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff,"Question: What does FDA recommend that firms consider when developing CFL promotional communications that are consistent with the FDA-required labeling to help ensure that the presentation of this information does not render the communication false or misleading?
  Answer: The way a firm presents information that is consistent with the FDA-required labeling (including the express and implied claims made and the overall impression created by the communication as a whole) affects how the information is understood. The following are some high-level recommendations for firms to consider when developing their presentations of information in CFL promotional communications to help ensure the presentations do not mislead the applicable audience(s):

* Any study results or other data and information that are relied upon to support a firm's CFL promotional communication should be accurately represented in the communications. Moreover, aspects of study design and methodology that are material for audiences to accurately interpret the information presented (e.g. type of study, study objectives, product dosage/use regimens, controls used, patient population studied) from any studies relied on should be clearly and prominently25 disclosed in firms' CFL promotional communications, and material limitations related to the study design, methodology, and results should also be disclosed in a clear and prominent manner.
* The CFL promotional communication should accurately characterize and contextualize the relevant information about the product, including by disclosing unfavorable or inconsistent findings. For example, if a firm presents efficacy results from a postmarketing study of its product that evaluated the effect of the product on two different endpoints, such as overall survival and progression-free survival, and the product failed to demonstrate an effect on one of these two endpoints, the firm should clearly and prominently disclose this in the CFL promotional communication, rather than selectively presenting only the positive efficacy results.
* If the FDA-required labeling contains data or information related to what is being represented/suggested in the CFL promotional communication, the communication should also include the data or information from the FDA-required labeling to provide the audience with appropriate context, and this information should be presented in a clear and prominent way. For example, if a communication provides postmarketing information about the types and rates of occurrence of adverse events that have been observed in practice, the communication should also include information from the FDA-required labeling about the types and rates of occurrence of adverse reactions observed in clinical trials to provide context.
  "
Medical_Product_Communications_That_Are_Consistent_With_the_FDA-Required_Labeling__Questions_and_Answers_Guidance_for_Industry_JUNE_2018.mmd,"Taking into account the content of Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff, What are some examples of promotional communications that are consistent with the FDA-required labeling and with the recommendations in this guidance?"," The following are two examples of promotional communications FDA would consider to be consistent with the FDA-required labeling and the recommendations in Q.6/A.6 and Q.8/A.8.

_Example 1_: Product B is an Immune Globulin Intravenous (Human), 10% liquid indicated for the treatment of primary humoral immunodeficiency (PI) and chronic immune thrombocytopenia pur purura (IPT). Product B's firm develops promotional materials which communicate that clearance of Product B is comparable in males and females taking it to treat PI and IPT. These materials cite to the pharmacokinetic information obtained from the pivotal study of the product.",Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff,"Question: What are some examples of promotional communications that are consistent with the FDA-required labeling and with the recommendations in this guidance?
  Answer:  The following are two examples of promotional communications FDA would consider to be consistent with the FDA-required labeling and the recommendations in Q.6/A.6 and Q.8/A.8.

_Example 1_: Product B is an Immune Globulin Intravenous (Human), 10% liquid indicated for the treatment of primary humoral immunodeficiency (PI) and chronic immune thrombocytopenia pur purura (IPT). Product B's firm develops promotional materials which communicate that clearance of Product B is comparable in males and females taking it to treat PI and IPT. These materials cite to the pharmacokinetic information obtained from the pivotal study of the product.
  "
Medical_Product_Communications_That_Are_Consistent_With_the_FDA-Required_Labeling__Questions_and_Answers_Guidance_for_Industry_JUNE_2018.mmd,"Taking into account the content of Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff, Is this consistent with the FDA-required labeling?","Yes. This claim about the product is within the scope of the uses approved by FDA, because the FDA-required labelingreflects that the product is indicated for use in both males and females to treat PI and IPT, and does not contain any limitations or directions or other special considerations related to the gender of patients using the product. The representation about similar clearance of the product in males and females is not expected to increase the potential for harm to patients, and the directions in the FDA-required labeling enable the product to be safely and effectively used to treat PI and IPT regardless of gender. This would be an example of a promotional communication that FDA would consider to be consistent with the FDA-required labeling.",Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff,"Question: Is this consistent with the FDA-required labeling?
  Answer: Yes. This claim about the product is within the scope of the uses approved by FDA, because the FDA-required labelingreflects that the product is indicated for use in both males and females to treat PI and IPT, and does not contain any limitations or directions or other special considerations related to the gender of patients using the product. The representation about similar clearance of the product in males and females is not expected to increase the potential for harm to patients, and the directions in the FDA-required labeling enable the product to be safely and effectively used to treat PI and IPT regardless of gender. This would be an example of a promotional communication that FDA would consider to be consistent with the FDA-required labeling.
  "
Medical_Product_Communications_That_Are_Consistent_With_the_FDA-Required_Labeling__Questions_and_Answers_Guidance_for_Industry_JUNE_2018.mmd,"Looking at the guidelines in Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff, Is this truthful and non-misleading?","Yes, assuming the clearance information from the pivotal study is accurately reported in the firm's CFL promotional communication and the material aspects of the underlying study design and methodology are disclosed, including any material limitations of the information. As indicated in Q.7/A.7, the firm should also ensure the rest of the information in the CFL promotional communication is truthful and non-misleading and satisfies any other applicable requirements.",Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff,"Question: Is this truthful and non-misleading?
  Answer: Yes, assuming the clearance information from the pivotal study is accurately reported in the firm's CFL promotional communication and the material aspects of the underlying study design and methodology are disclosed, including any material limitations of the information. As indicated in Q.7/A.7, the firm should also ensure the rest of the information in the CFL promotional communication is truthful and non-misleading and satisfies any other applicable requirements.
  "
Medical_Product_Communications_That_Are_Consistent_With_the_FDA-Required_Labeling__Questions_and_Answers_Guidance_for_Industry_JUNE_2018.mmd,"As explained in Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff, Is this consistent with the FDA-required labeling?","Yes. These representations about the use of the product are within the scope of the uses approved by FDA, because the product is being used for its approved indication in its approved patient population and in a manner that comports with the directions for use in the FDA-required labeling. These representations are not expected to increase the potential for harm to patients relative to the information reflected in the FDA-required labeling. The directions for use in the FDA-required labeling enable the product to be safely and effectively used under the conditions represented in the communication. While the promotional materials provide supplementary information about use of the device in a specific manner, the information provided is consistent with the directions for use in the labeling, which do not prescribe a specific use schedule, and the information does not otherwise alter or compromise the directions for use in the FDA-required labeling. A firm's communication of this information would be considered consistent with the FDA-required labeling.",Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff,"Question: Is this consistent with the FDA-required labeling?
  Answer: Yes. These representations about the use of the product are within the scope of the uses approved by FDA, because the product is being used for its approved indication in its approved patient population and in a manner that comports with the directions for use in the FDA-required labeling. These representations are not expected to increase the potential for harm to patients relative to the information reflected in the FDA-required labeling. The directions for use in the FDA-required labeling enable the product to be safely and effectively used under the conditions represented in the communication. While the promotional materials provide supplementary information about use of the device in a specific manner, the information provided is consistent with the directions for use in the labeling, which do not prescribe a specific use schedule, and the information does not otherwise alter or compromise the directions for use in the FDA-required labeling. A firm's communication of this information would be considered consistent with the FDA-required labeling.
  "
Medical_Product_Communications_That_Are_Consistent_With_the_FDA-Required_Labeling__Questions_and_Answers_Guidance_for_Industry_JUNE_2018.mmd,"As per the details in Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff, Is this truthful and non-misleading?","If the data and information are accurately reported in the firm's promotional materials and the material aspects of the underlying study design and methodology are disclosed in the materials, including material limitations of the information, FDA would consider this to be truthful and non-misleading. Provided the rest of the information in the promotional materials is truthful and non-misleading, this is an example of a CFL promotional communication that FDA would also consider to be consistent with the recommendations in Q.6/A.6 and Q.8/A.8.",Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff,"Question: Is this truthful and non-misleading?
  Answer: If the data and information are accurately reported in the firm's promotional materials and the material aspects of the underlying study design and methodology are disclosed in the materials, including material limitations of the information, FDA would consider this to be truthful and non-misleading. Provided the rest of the information in the promotional materials is truthful and non-misleading, this is an example of a CFL promotional communication that FDA would also consider to be consistent with the recommendations in Q.6/A.6 and Q.8/A.8.
  "
Medical_Product_Communications_That_Are_Consistent_With_the_FDA-Required_Labeling__Questions_and_Answers_Guidance_for_Industry_JUNE_2018.mmd,"From what I've read in Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff, What are examples of promotional communications FDA would consider to be inconsistent with the FDA-required labeling or inconsistent with the recommendations in this guidance?","Here are two examples. The first illustrates a promotional communication that FDA would consider to be inconsistent with the FDA-required labeling, and the second illustrates a CFL promotional communication that FDA would consider to be inconsistent with the recommendations in Q.6/A.6 and Q.8/A.8.",Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff,"Question: What are examples of promotional communications FDA would consider to be inconsistent with the FDA-required labeling or inconsistent with the recommendations in this guidance?
  Answer: Here are two examples. The first illustrates a promotional communication that FDA would consider to be inconsistent with the FDA-required labeling, and the second illustrates a CFL promotional communication that FDA would consider to be inconsistent with the recommendations in Q.6/A.6 and Q.8/A.8.
  "
Medical_Product_Communications_That_Are_Consistent_With_the_FDA-Required_Labeling__Questions_and_Answers_Guidance_for_Industry_JUNE_2018.mmd,"As described in Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff, Example 1","No. These representations about the use of the product are not within the scope of the uses approved by FDA. Treatment of BRD and prevention of BRD are distinct indications, and this drug is not approved for prevention of BRD. The FDA-required labeling for treatment of BRD does not provide directions for using the product for disease prevention.

Moreover, the administration of the drug to cattle 5 days before shipment to prevent BRD would reasonably be expected to increase the risk to health (including to the health of cattle and of humans) from resistant bacteria originating from treated cattle. FDA considers appropriate risk factors, including considerations of animal and public health, in determining whether an animal drug product is safe and effective under particular conditions of use.",Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff,"Question: Example 1_: A drug is indicated for the treatment of bovine respiratory disease (BRD) associated with certain susceptible bacteria in beef and non-lactating dairy cattle. The firm develops promotional materials to communicate information about the use of the drug to prevent BRD if used 5 days before shipment of cattle.
  Answer: No. These representations about the use of the product are not within the scope of the uses approved by FDA. Treatment of BRD and prevention of BRD are distinct indications, and this drug is not approved for prevention of BRD. The FDA-required labeling for treatment of BRD does not provide directions for using the product for disease prevention.

Moreover, the administration of the drug to cattle 5 days before shipment to prevent BRD would reasonably be expected to increase the risk to health (including to the health of cattle and of humans) from resistant bacteria originating from treated cattle. FDA considers appropriate risk factors, including considerations of animal and public health, in determining whether an animal drug product is safe and effective under particular conditions of use.
  "
Medical_Product_Communications_That_Are_Consistent_With_the_FDA-Required_Labeling__Questions_and_Answers_Guidance_for_Industry_JUNE_2018.mmd,"When considering the information from Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff, Example 2","If the data and information are accurately reported in the firm's promotional materials and the material aspects of the underlying study design and methodology are disclosed in the materials, including material limitations of the information, FDA would consider this to be truthful and non-misleading. Provided the rest of the information in the promotional materials is truthful and non-misleading, this is an example of a CFL promotional communication that FDA would also consider to be consistent with the recommendations in Q.6/A.6 and Q.8/A.8.",Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff,"Question: Example 2_: Drug A is approved for the long-term, maintenance treatment of asthma patients 12 years of age and older. The safety and efficacy of Drug A for this indication was evaluated versus placebo treatment in a randomized, double-blind study. The study also included an active comparator (Drug B), approved for the same indication and with a comparable risk profile, which was similarly evaluated versus placebo. The study was not designed to test the non-inferiority or superiority of Drug A directly against Drug B (i.e., the Drug B arm was included for assay sensitivity). Drug A and Drug B demonstrated statistically significant improvements versus placebo in the co-primary efficacy endpoints, but Drug A's results showed a numerically greater improvement versus placebo than those for Drug B. Based on this study, Drug A's firm develops promotional materials to communicate that Drug A is clinically superior to Drug B for the long-term, maintenance treatment of asthma patients 12 years of age and older.
  Answer: If the data and information are accurately reported in the firm's promotional materials and the material aspects of the underlying study design and methodology are disclosed in the materials, including material limitations of the information, FDA would consider this to be truthful and non-misleading. Provided the rest of the information in the promotional materials is truthful and non-misleading, this is an example of a CFL promotional communication that FDA would also consider to be consistent with the recommendations in Q.6/A.6 and Q.8/A.8.
  "
Medical_Product_Communications_That_Are_Consistent_With_the_FDA-Required_Labeling__Questions_and_Answers_Guidance_for_Industry_JUNE_2018.mmd,"In light of the details from Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff, Is this consistent with the FDA-required labeling","Yes. The information the firm proposes to present is within the scope of the uses approved by FDA for Drug A. The promotional material relates to the indicated use of Drug A in the approved patient population at the same dosing strength and frequency recommended in the FDA-required labeling. The information is not expected to increase the potential for harm to the health of patients relative to the information reflected in the FDA-required labeling -- both Drug A and Drug B are approved for the same indication and patient population and have similar risk profiles. Furthermore, the directions in the FDA-required labeling enable Drug A to be safely and effectively used under the conditions presented in the promotional material. This promotional communication could be considered consistent with the FDA-required labeling.",Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff,"Question: Is this consistent with the FDA-required labeling_?
  Answer: Yes. The information the firm proposes to present is within the scope of the uses approved by FDA for Drug A. The promotional material relates to the indicated use of Drug A in the approved patient population at the same dosing strength and frequency recommended in the FDA-required labeling. The information is not expected to increase the potential for harm to the health of patients relative to the information reflected in the FDA-required labeling -- both Drug A and Drug B are approved for the same indication and patient population and have similar risk profiles. Furthermore, the directions in the FDA-required labeling enable Drug A to be safely and effectively used under the conditions presented in the promotional material. This promotional communication could be considered consistent with the FDA-required labeling.
  "
Medical_Product_Communications_That_Are_Consistent_With_the_FDA-Required_Labeling__Questions_and_Answers_Guidance_for_Industry_JUNE_2018.mmd,"Given the context of Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff, Is this truthful and non-misleading?","No. The promotional material is misleading because it makes a claim of superior effectiveness for Drug A versus Drug B based on a study that was not designed to establish superiority of Drug A to Drug B. Thus, the CFL promotional communication would not be consistent with the recommendations in Q.6/A.6 and Q.8/A.8.

If the firm wishes to present data and information from this study, it should do so in a truthful and non-misleading way. For example, the firm could describe the study design and objectives, including the material limitations of both, and include prominent contextual information that the study was not designed to provide comparative efficacy data and should not be interpreted as providing evidence of either superiority or non-inferiority of Drug A to Drug B. The CFL promotional communication should not contain representations or suggestions that are not supported by appropriate evidence, such as any representation or suggestion of Drug A's superior effectiveness over Drug B.",Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff,"Question: Is this truthful and non-misleading?
  Answer: No. The promotional material is misleading because it makes a claim of superior effectiveness for Drug A versus Drug B based on a study that was not designed to establish superiority of Drug A to Drug B. Thus, the CFL promotional communication would not be consistent with the recommendations in Q.6/A.6 and Q.8/A.8.

If the firm wishes to present data and information from this study, it should do so in a truthful and non-misleading way. For example, the firm could describe the study design and objectives, including the material limitations of both, and include prominent contextual information that the study was not designed to provide comparative efficacy data and should not be interpreted as providing evidence of either superiority or non-inferiority of Drug A to Drug B. The CFL promotional communication should not contain representations or suggestions that are not supported by appropriate evidence, such as any representation or suggestion of Drug A's superior effectiveness over Drug B.
  "
Medical_Product_Communications_That_Are_Consistent_With_the_FDA-Required_Labeling__Questions_and_Answers_Guidance_for_Industry_JUNE_2018.mmd,"Drawing from the insights of Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff, What are the Agency's policies for communication of information that is not consistent with the FDA-required labeling (i.e., information about unapproved uses of approved/cleared medical products)?","A.11. A determination that a product communication is not consistent with that product's FDA-required labeling does not necessarily mean the communication is one that FDA would rely on as relevant to establishing a violation of FDA-administered legal authorities. There are other potentially relevant regulations, guidance documents, and policies that describe the Agency's views and enforcement priorities that could apply in this situation. For example, FDA has issued a draft guidance describing how firms can respond to unsolicited requests for unapproved use information related to their FDA-approved prescription drugs and FDA-approved or cleared devices.26 In addition, FDA has provided separate guidances describing recommended practices for firms for the dissemination of scientific and medical publications discussing unapproved uses of approved drugs or approved or cleared devices.27,28

Footnote 27: See FDA_ guidance _Good Reprint Practices for the Distribution of Medical Journal Articles and Medical or Scientific Reference Publication on Unapproved New Uses of Approved Drugs and Approved or Cleared Medical Devices_ (January 2009).",Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff,"Question: What are the Agency's policies for communication of information that is not consistent with the FDA-required labeling (i.e., information about unapproved uses of approved/cleared medical products)?
  Answer: A.11. A determination that a product communication is not consistent with that product's FDA-required labeling does not necessarily mean the communication is one that FDA would rely on as relevant to establishing a violation of FDA-administered legal authorities. There are other potentially relevant regulations, guidance documents, and policies that describe the Agency's views and enforcement priorities that could apply in this situation. For example, FDA has issued a draft guidance describing how firms can respond to unsolicited requests for unapproved use information related to their FDA-approved prescription drugs and FDA-approved or cleared devices.26 In addition, FDA has provided separate guidances describing recommended practices for firms for the dissemination of scientific and medical publications discussing unapproved uses of approved drugs or approved or cleared devices.27,28

Footnote 27: See FDA_ guidance _Good Reprint Practices for the Distribution of Medical Journal Articles and Medical or Scientific Reference Publication on Unapproved New Uses of Approved Drugs and Approved or Cleared Medical Devices_ (January 2009).
  "
Medical_Product_Communications_That_Are_Consistent_With_the_FDA-Required_Labeling__Questions_and_Answers_Guidance_for_Industry_JUNE_2018.mmd,"As described in Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff, IV Paperwork Reduction Act of 1995","This guidance contains information collection provisions that are subject to review by the Office of Management and Budget (OMB) under the Paperwork Reduction Act of 1995 (44 U.S.C. 3501-3520). Specifically, in Q.8/A.8 the guidance contains recommendations regarding information that firms should include in communications that contain information not found in the FDA-required labeling for their medical products but that are consistent with the FDA-required labeling.

FDA estimates that it will take firms approximately 4 hours per unique presentation to prepare and incorporate the information that this guidance recommends should be included in their CFL promotional communications. Send comments regarding this burden estimate or suggestions for reducing this burden to:_Contains Nonbinding Recommendations_

FDA PRA Staff, Office of Operations; Food and Drug Administration;

Three White Flint North; 11601 Landsdown Street, 10A-12M; North Bethesda, MD 20852

An Agency may not conduct or sponsor, and a person is not required to respond to, a collection of information unless it displays a currently valid OMB control number. The OMB control number for this information collection is 0910-0856 (expires 08/31/2024 (Note: OMB control number and expiration date added 09/28/2021)).",Guidance on Medical Device Patient Labeling Final Guidance for Industry and FDA Staff,"Question: IV Paperwork Reduction Act of 1995
  Answer: This guidance contains information collection provisions that are subject to review by the Office of Management and Budget (OMB) under the Paperwork Reduction Act of 1995 (44 U.S.C. 3501-3520). Specifically, in Q.8/A.8 the guidance contains recommendations regarding information that firms should include in communications that contain information not found in the FDA-required labeling for their medical products but that are consistent with the FDA-required labeling.

FDA estimates that it will take firms approximately 4 hours per unique presentation to prepare and incorporate the information that this guidance recommends should be included in their CFL promotional communications. Send comments regarding this burden estimate or suggestions for reducing this burden to:_Contains Nonbinding Recommendations_

FDA PRA Staff, Office of Operations; Food and Drug Administration;

Three White Flint North; 11601 Landsdown Street, 10A-12M; North Bethesda, MD 20852

An Agency may not conduct or sponsor, and a person is not required to respond to, a collection of information unless it displays a currently valid OMB control number. The OMB control number for this information collection is 0910-0856 (expires 08/31/2024 (Note: OMB control number and expiration date added 09/28/2021)).
  "
Expanded_Access_to_Investigational_Drugs_for_Treatment_Use_-_Questions_and_Answers_Guidance_for_Industry_JUNE_2016.mmd,"As described in Treatment Use of Investigational Drugs Guidance for Institutional Review Boards and Clinical Investigators, What is expanded access?","The terms expanded access, access, and treatment use are used interchangeably to refer to use of an investigational drug when the primary purpose is to diagnose, monitor, or treat a patient's disease or condition. The terms _compassionate use_ and _preamproval access_ are also occasionally used in the context of the use of an investigational drug to treat a patient. Although these terms have been used informally in the United States and are used outside the United States, they are not defined or described in FDA regulations. This has led to some confusion or lack of clarity about the meaning of the terms (e.g., whether they refer to all expanded access or a type of expanded access, such as individual patient expanded access). For this reason, the terms _compassionate use_ and _preamproval access_ will not be used in this document.

The main distinction between expanded access and the use of an investigational drug in the usual studies covered under an IND is that expanded access uses are not primarily intended to obtain information about the safety or effectiveness of a drug. Expanded access to an investigational drug can only be provided under a treatment IND or protocol (see Q8) if the sponsor is actively pursuing, with due diligence, marketing approval of the drug for the expanded access use.

Expanded access, access, and treatment use may also refer to (1) use in situations when a drug has been withdrawn for safety reasons, but there exists a patient population for whom the benefits of the withdrawn drug continue to outweigh the risks; (2) use of a similar, but unapproved drug (e.g., foreign-approved drug product) to provide treatment during a drug shortage of the approved drug; (3) use of an approved drug where availability is limited by a risk evaluation and mitigation strategy (REMS) for diagnostic, monitoring, or treatment purposes, by patients who cannot obtain the drug under the REMS; or (4) use for other reasons.",Treatment Use of Investigational Drugs Guidance for Institutional Review Boards and Clinical Investigators,"Question: What is expanded access?
  Answer: The terms expanded access, access, and treatment use are used interchangeably to refer to use of an investigational drug when the primary purpose is to diagnose, monitor, or treat a patient's disease or condition. The terms _compassionate use_ and _preamproval access_ are also occasionally used in the context of the use of an investigational drug to treat a patient. Although these terms have been used informally in the United States and are used outside the United States, they are not defined or described in FDA regulations. This has led to some confusion or lack of clarity about the meaning of the terms (e.g., whether they refer to all expanded access or a type of expanded access, such as individual patient expanded access). For this reason, the terms _compassionate use_ and _preamproval access_ will not be used in this document.

The main distinction between expanded access and the use of an investigational drug in the usual studies covered under an IND is that expanded access uses are not primarily intended to obtain information about the safety or effectiveness of a drug. Expanded access to an investigational drug can only be provided under a treatment IND or protocol (see Q8) if the sponsor is actively pursuing, with due diligence, marketing approval of the drug for the expanded access use.

Expanded access, access, and treatment use may also refer to (1) use in situations when a drug has been withdrawn for safety reasons, but there exists a patient population for whom the benefits of the withdrawn drug continue to outweigh the risks; (2) use of a similar, but unapproved drug (e.g., foreign-approved drug product) to provide treatment during a drug shortage of the approved drug; (3) use of an approved drug where availability is limited by a risk evaluation and mitigation strategy (REMS) for diagnostic, monitoring, or treatment purposes, by patients who cannot obtain the drug under the REMS; or (4) use for other reasons.
  "
Expanded_Access_to_Investigational_Drugs_for_Treatment_Use_-_Questions_and_Answers_Guidance_for_Industry_JUNE_2016.mmd,According to the Treatment Use of Investigational Drugs Guidance for Institutional Review Boards and Clinical Investigators What types of regulatory submissions can be used to obtain expanded access to a drug under the three expanded access categories?,"For each category of expanded access, there are two types of regulatory submissions that can be made: (1) an expanded access protocol submitted as a protocol amendment to an existing IND (i.e., an expanded access protocol) or (2) a new IND submission, which is separate and distinct from any existing INDs and is intended only to make a drug available for treatment use (i.e., an expanded access IND).",Treatment Use of Investigational Drugs Guidance for Institutional Review Boards and Clinical Investigators,"Question: What types of regulatory submissions can be used to obtain expanded access to a drug under the three expanded access categories?
  Answer: For each category of expanded access, there are two types of regulatory submissions that can be made: (1) an expanded access protocol submitted as a protocol amendment to an existing IND (i.e., an expanded access protocol) or (2) a new IND submission, which is separate and distinct from any existing INDs and is intended only to make a drug available for treatment use (i.e., an expanded access IND).
  "
Expanded_Access_to_Investigational_Drugs_for_Treatment_Use_-_Questions_and_Answers_Guidance_for_Industry_JUNE_2016.mmd,"Having read through Treatment Use of Investigational Drugs Guidance for Institutional Review Boards and Clinical Investigators, When should an expanded access protocol submission be used?","An expanded access protocol submission for expanded access should be used only if the sponsor seeking expanded access has an existing IND in effect -- typically, such a sponsor is a commercial sponsor with an existing IND under which the sponsor is developing the drug for marketing. When there is an existing IND in effect, FDA generally encourages the submission of an expanded access protocol, rather than a new expanded access IND, because having all expanded access use and clinical trial use consolidated under a single IND may facilitate identification of safety concerns, may make the administrative process less burdensome for sponsors and FDA, and may help in product review.",Treatment Use of Investigational Drugs Guidance for Institutional Review Boards and Clinical Investigators,"Question: When should an expanded access protocol submission be used?
  Answer: An expanded access protocol submission for expanded access should be used only if the sponsor seeking expanded access has an existing IND in effect -- typically, such a sponsor is a commercial sponsor with an existing IND under which the sponsor is developing the drug for marketing. When there is an existing IND in effect, FDA generally encourages the submission of an expanded access protocol, rather than a new expanded access IND, because having all expanded access use and clinical trial use consolidated under a single IND may facilitate identification of safety concerns, may make the administrative process less burdensome for sponsors and FDA, and may help in product review.
  "
Expanded_Access_to_Investigational_Drugs_for_Treatment_Use_-_Questions_and_Answers_Guidance_for_Industry_JUNE_2016.mmd,"Based on the information from Treatment Use of Investigational Drugs Guidance for Institutional Review Boards and Clinical Investigators, When should a new expanded access IND submission be used?","A new expanded access IND submission for expanded access generally should be used when (1) there is no existing IND in effect for the drug or, more commonly, (2) there is an existing IND in effect for the drug, but the sponsor of the existing IND10 declines to be the sponsor of the expanded access use (e.g., for an individual patient use, the sponsor of the existing IND may prefer that a patient's physician take on the role of sponsor-investigator and submit a separate individual patient IND).",Treatment Use of Investigational Drugs Guidance for Institutional Review Boards and Clinical Investigators,"Question: When should a new expanded access IND submission be used?
  Answer: A new expanded access IND submission for expanded access generally should be used when (1) there is no existing IND in effect for the drug or, more commonly, (2) there is an existing IND in effect for the drug, but the sponsor of the existing IND10 declines to be the sponsor of the expanded access use (e.g., for an individual patient use, the sponsor of the existing IND may prefer that a patient's physician take on the role of sponsor-investigator and submit a separate individual patient IND).
  "
